data; 

set GUESTS := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 ;
set ROOMS := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 ;
 
param: roomType :=
1 4
2 1
3 3
4 5
5 4
6 1
7 5
8 2
9 1
10 6
11 5
12 5
13 5
14 2
15 6
16 2
17 5
18 4
19 2
20 1
21 2
22 3
23 2
24 1
25 3 ;
 
param: guestType :=
1 2
2 4
3 1
4 2
5 2
6 3
7 2
8 3
9 4
10 1
11 1
12 4
13 2
14 2
15 1
16 1
17 3
18 3
19 5
20 4
21 3
22 2 ;
 
param metPreferences: 
  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22  :=
1 0 0 0 0 1 1 0 0 0 0 0 2 0 1 0 0 0 0 1 1 0 0 
2 2 0 1 2 1 1 1 2 0 2 2 2 3 0 0 2 3 3 1 1 3 2 
3 2 1 1 3 2 1 2 3 2 3 2 4 3 2 1 2 2 4 2 2 3 2 
4 2 0 1 1 1 0 0 2 1 2 1 2 1 1 0 1 1 1 1 1 1 1 
5 3 1 2 2 1 0 0 2 2 1 0 2 2 2 1 0 1 3 3 1 2 2 
6 4 1 2 2 3 1 0 3 2 2 2 3 3 1 1 2 3 4 4 3 3 3 
7 2 0 2 3 0 1 1 2 1 2 0 3 3 2 0 0 1 3 2 0 2 2 
8 3 0 2 3 2 2 1 3 1 3 1 4 3 1 0 1 2 3 3 2 3 2 
9 1 0 1 2 0 1 1 1 0 1 1 1 3 0 0 1 2 3 1 0 2 2 
10 3 1 1 1 3 1 0 2 1 1 1 2 1 0 1 1 2 2 3 3 3 1 
11 1 1 0 0 1 0 0 0 1 0 1 0 1 0 1 1 1 2 1 1 1 1 
12 2 0 2 2 0 0 0 2 1 1 1 1 3 1 0 1 2 3 2 0 1 3 
13 3 2 1 3 3 1 2 3 3 3 1 4 2 2 2 1 1 4 3 3 4 1 
14 2 1 1 1 1 0 0 1 2 1 1 1 2 1 1 1 1 3 2 1 1 2 
15 2 2 1 2 2 0 1 2 3 1 1 1 2 1 2 1 1 4 3 2 2 2 
16 1 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 1 1 1 0 1 1 
17 1 0 0 0 1 0 0 1 0 1 1 2 0 1 0 1 1 0 0 1 1 0 
18 3 1 1 2 3 2 1 2 2 3 1 5 2 2 1 1 1 3 3 3 3 1 
19 2 1 1 2 2 0 1 3 1 1 2 1 2 0 1 2 3 3 2 2 3 2 
20 0 1 0 2 1 1 2 1 1 1 0 1 1 0 1 0 0 2 1 1 2 0 
21 2 2 0 2 3 1 2 2 2 2 2 2 2 0 2 2 2 4 2 3 4 1 
22 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 
23 3 1 2 2 1 0 0 2 2 1 0 2 2 2 1 0 1 3 3 1 2 2 
24 2 2 1 2 2 0 1 2 2 0 0 0 1 0 2 0 1 3 3 2 3 1 
25 3 2 1 3 3 1 2 3 2 2 1 2 2 0 2 1 2 4 3 3 5 1  ;
 
param satisfaction: 
  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22  :=
1 0.0 0.0 0.0 0.0 0.25 0.5 0.0 0.0 0.0 0.0 0.0 0.4 0.0 0.3333333333333333 0.0 0.0 0.0 0.0 0.2 0.25 0.0 0.0 
2 0.5 0.0 0.5 0.5 0.25 0.5 0.5 0.5 0.0 0.6666666666666666 1.0 0.4 0.75 0.0 0.0 0.6666666666666666 1.0 0.5 0.2 0.25 0.6 0.6666666666666666 
3 0.5 0.5 0.5 0.75 0.5 0.5 1.0 0.75 0.6666666666666666 1.0 1.0 0.8 0.75 0.6666666666666666 0.5 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.4 0.5 0.6 0.6666666666666666 
4 0.5 0.0 0.5 0.25 0.25 0.0 0.0 0.5 0.3333333333333333 0.6666666666666666 0.5 0.4 0.25 0.3333333333333333 0.0 0.3333333333333333 0.3333333333333333 0.16666666666666666 0.2 0.25 0.2 0.3333333333333333 
5 0.75 0.5 1.0 0.5 0.25 0.0 0.0 0.5 0.6666666666666666 0.3333333333333333 0.0 0.4 0.5 0.6666666666666666 0.5 0.0 0.3333333333333333 0.5 0.6 0.25 0.4 0.6666666666666666 
6 1.0 0.5 1.0 0.5 0.75 0.5 0.0 0.75 0.6666666666666666 0.6666666666666666 1.0 0.6 0.75 0.3333333333333333 0.5 0.6666666666666666 1.0 0.6666666666666666 0.8 0.75 0.6 1.0 
7 0.5 0.0 1.0 0.75 0.0 0.5 0.5 0.5 0.3333333333333333 0.6666666666666666 0.0 0.6 0.75 0.6666666666666666 0.0 0.0 0.3333333333333333 0.5 0.4 0.0 0.4 0.6666666666666666 
8 0.75 0.0 1.0 0.75 0.5 1.0 0.5 0.75 0.3333333333333333 1.0 0.5 0.8 0.75 0.3333333333333333 0.0 0.3333333333333333 0.6666666666666666 0.5 0.6 0.5 0.6 0.6666666666666666 
9 0.25 0.0 0.5 0.5 0.0 0.5 0.5 0.25 0.0 0.3333333333333333 0.5 0.2 0.75 0.0 0.0 0.3333333333333333 0.6666666666666666 0.5 0.2 0.0 0.4 0.6666666666666666 
10 0.75 0.5 0.5 0.25 0.75 0.5 0.0 0.5 0.3333333333333333 0.3333333333333333 0.5 0.4 0.25 0.0 0.5 0.3333333333333333 0.6666666666666666 0.3333333333333333 0.6 0.75 0.6 0.3333333333333333 
11 0.25 0.5 0.0 0.0 0.25 0.0 0.0 0.0 0.3333333333333333 0.0 0.5 0.0 0.25 0.0 0.5 0.3333333333333333 0.3333333333333333 0.3333333333333333 0.2 0.25 0.2 0.3333333333333333 
12 0.5 0.0 1.0 0.5 0.0 0.0 0.0 0.5 0.3333333333333333 0.3333333333333333 0.5 0.2 0.75 0.3333333333333333 0.0 0.3333333333333333 0.6666666666666666 0.5 0.4 0.0 0.2 1.0 
13 0.75 1.0 0.5 0.75 0.75 0.5 1.0 0.75 1.0 1.0 0.5 0.8 0.5 0.6666666666666666 1.0 0.3333333333333333 0.3333333333333333 0.6666666666666666 0.6 0.75 0.8 0.3333333333333333 
14 0.5 0.5 0.5 0.25 0.25 0.0 0.0 0.25 0.6666666666666666 0.3333333333333333 0.5 0.2 0.5 0.3333333333333333 0.5 0.3333333333333333 0.3333333333333333 0.5 0.4 0.25 0.2 0.6666666666666666 
15 0.5 1.0 0.5 0.5 0.5 0.0 0.5 0.5 1.0 0.3333333333333333 0.5 0.2 0.5 0.3333333333333333 1.0 0.3333333333333333 0.3333333333333333 0.6666666666666666 0.6 0.5 0.4 0.6666666666666666 
16 0.25 0.0 0.5 0.25 0.0 0.0 0.0 0.25 0.0 0.0 0.0 0.0 0.25 0.0 0.0 0.0 0.3333333333333333 0.16666666666666666 0.2 0.0 0.2 0.3333333333333333 
17 0.25 0.0 0.0 0.0 0.25 0.0 0.0 0.25 0.0 0.3333333333333333 0.5 0.4 0.0 0.3333333333333333 0.0 0.3333333333333333 0.3333333333333333 0.0 0.0 0.25 0.2 0.0 
18 0.75 0.5 0.5 0.5 0.75 1.0 0.5 0.5 0.6666666666666666 1.0 0.5 1.0 0.5 0.6666666666666666 0.5 0.3333333333333333 0.3333333333333333 0.5 0.6 0.75 0.6 0.3333333333333333 
19 0.5 0.5 0.5 0.5 0.5 0.0 0.5 0.75 0.3333333333333333 0.3333333333333333 1.0 0.2 0.5 0.0 0.5 0.6666666666666666 1.0 0.5 0.4 0.5 0.6 0.6666666666666666 
20 0.0 0.5 0.0 0.5 0.25 0.5 1.0 0.25 0.3333333333333333 0.3333333333333333 0.0 0.2 0.25 0.0 0.5 0.0 0.0 0.3333333333333333 0.2 0.25 0.4 0.0 
21 0.5 1.0 0.0 0.5 0.75 0.5 1.0 0.5 0.6666666666666666 0.6666666666666666 1.0 0.4 0.5 0.0 1.0 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.4 0.75 0.8 0.3333333333333333 
22 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.3333333333333333 0.0 0.3333333333333333 0.0 0.0 0.0 0.0 0.0 0.0 
23 0.75 0.5 1.0 0.5 0.25 0.0 0.0 0.5 0.6666666666666666 0.3333333333333333 0.0 0.4 0.5 0.6666666666666666 0.5 0.0 0.3333333333333333 0.5 0.6 0.25 0.4 0.6666666666666666 
24 0.5 1.0 0.5 0.5 0.5 0.0 0.5 0.5 0.6666666666666666 0.0 0.0 0.0 0.25 0.0 1.0 0.0 0.3333333333333333 0.5 0.6 0.5 0.6 0.3333333333333333 
25 0.75 1.0 0.5 0.75 0.75 0.5 1.0 0.75 0.6666666666666666 0.6666666666666666 0.5 0.4 0.5 0.0 1.0 0.3333333333333333 0.6666666666666666 0.6666666666666666 0.6 0.75 1.0 0.3333333333333333  ;
